Latitude,Longitude,Park,Dog,Riverside,Drinking.Fountains,Air.Quality,Running.Track,Safety
40.749937,-74.009546,1,0,1,0,55,1,5
40.748933,-74.007083,1,1,0,0,55,0,3
40.747716,-74.004178,0,0,0,0,55,0,3
40.746479,-74.00139,0,0,0,0,55,0,2
40.745316,-73.998537,0,0,0,0,55,0,2
40.743426,-73.996202,0,0,0,0,55,0,2
40.741617,-73.99374,0,0,0,0,55,0,2
40.740282,-73.990571,1,0,0,0,55,0,1
40.740221,-73.986443,0,0,0,0,55,0,2
40.738837,-73.98318,0,0,0,0,55,0,2
40.737871,-73.981013,0,0,0,0,55,0,2
40.736895,-73.978513,0,0,0,0,56.89,0,2
40.735348,-73.974583,1,0,1,0,56.89,1,4
40.731833,-73.973615,1,0,1,0,56.89,1,4
40.732625,-73.977277,0,0,0,0,56.89,0,4
40.734381,-73.980324,0,0,0,0,56.89,0,3
40.735446,-73.982717,0,0,0,0,55,0,1
40.736389,-73.984991,0,0,0,0,55,0,1
40.737706,-73.988135,0,0,0,0,55,0,2
40.739104,-73.991354,0,0,0,0,55,0,2
40.74047,-73.994626,0,0,0,0,55,0,2
40.741616,-73.997458,0,0,0,0,55,0,1
40.742835,-74.000291,0,0,0,0,55,0,1
40.744087,-74.003231,0,0,0,0,55,0,3
40.745266,-74.005956,0,0,0,0,55,0,3
40.746371,-74.009346,0,0,1,0,55,1,5
40.743307,-74.008896,1,0,1,0,55,1,4
40.741684,-74.004979,0,0,0,0,55,0,1
40.740424,-74.002082,0,0,0,0,55,0,1
40.739229,-73.999207,0,0,0,0,55,0,2
40.741684,-74.004979,0,0,0,0,55,0,1
40.736668,-73.993188,0,0,0,0,55,0,2
40.735351,-73.989948,1,1,0,1,55,0,1
40.734018,-73.986708,0,0,0,0,55,0,2
40.733018,-73.984444,1,0,0,0,55,0,2
40.731961,-73.981923,0,0,0,0,56.89,0,2
40.730945,-73.978543,0,0,0,0,56.89,0,4
40.729132,-73.975163,0,0,0,0,56.89,0,4
40.727628,-73.97158,0,0,1,0,56.89,1,5
40.724669,-73.97277,1,0,1,1,51.63,1,4
40.725459,-73.974738,0,0,0,0,51.63,0,3
40.726494,-73.977139,0,0,0,0,51.63,0,3
40.727451,-73.979468,0,0,0,0,51.63,0,2
40.72844,-73.981805,0,0,0,0,51.63,0,2
40.729365,-73.984012,1,0,0,0,51.63,0,2
40.731326,-73.988629,0,0,0,0,51.63,0,1
40.732442,-73.991308,0,0,0,0,51.63,0,2
40.734024,-73.995063,0,0,0,0,52.05,0,3
40.735385,-73.998307,0,0,0,0,52.05,0,3
40.736558,-74.001207,0,0,0,0,52.05,0,2
40.737879,-74.004597,0,0,0,0,52.05,0,3
40.739312,-74.008114,0,0,0,0,52.05,0,2
40.738169,-74.010272,1,0,1,0,52.05,1,4
40.735871,-74.006082,1,0,0,0,52.05,0,3
40.734655,-74.002299,0,0,0,0,52.05,0,1
40.732256,-73.998729,1,0,0,0,52.05,0,2
40.730751,-73.995605,1,0,0,0,52.05,0,2
40.729144,-73.992144,0,0,0,0,51.63,0,2
40.728026,-73.988257,0,0,0,0,51.63,0,1
40.726967,-73.985885,0,0,0,0,51.63,0,2
40.72508,-73.981284,0,0,0,0,51.63,0,3
40.723097,-73.976557,0,0,0,0,51.63,0,3
40.721826,-73.972723,1,0,1,0,51.63,1,5
40.718915,-73.973527,1,0,1,0,51.63,1,5
40.720695,-73.978286,0,0,0,0,51.63,0,3
40.722706,-73.983045,0,0,0,0,51.63,0,2
40.724582,-73.987498,0,0,0,0,51.63,0,2
40.72639,-73.99176,0,0,0,0,51.63,0,2
40.727918,-73.994796,0,0,0,0,52.05,0,2
40.729339,-73.997897,0,0,0,0,52.05,0,2
40.73103,-74.00145,1,0,0,0,52.05,0,1
40.732135,-74.003755,0,0,0,0,52.05,0,1
40.732942,-74.006876,0,0,0,0,52.05,0,2
40.733612,-74.010521,1,0,1,0,52.05,1,4
40.729158,-74.010937,1,0,1,0,52.05,1,4
40.727974,-74.006067,0,0,0,0,52.05,0,3
40.726525,-74.002395,0,0,0,0,52.05,0,2
40.723898,-73.99696,0,0,0,0,52.05,0,1
40.722475,-73.99329,0,0,0,0,51.63,0,2
40.721566,-73.989087,0,0,0,0,51.63,0,1
40.720256,-73.98455,0,0,0,0,51.63,0,2
40.718749,-73.979346,1,0,0,0,51.63,0,3
40.717369,-73.974991,1,0,1,0,51.63,1,4
40.712788,-73.975998,1,0,1,0,51.63,1,5
40.713967,-73.980008,0,0,0,0,51.63,0,4
40.715225,-73.984148,0,0,0,0,51.63,0,3
40.716667,-73.989009,0,0,0,0,51.63,0,3
40.718457,-73.994828,1,0,0,0,52.05,0,2
40.71936,-73.997336,0,0,0,0,52.05,0,3
40.720823,-74.000701,0,0,0,0,52.05,0,2
40.722406,-74.003865,0,0,0,0,52.05,0,3
40.723754,-74.006149,1,0,0,0,52.05,0,3
40.726454,-74.011331,1,0,1,0,52.05,1,5
40.721851,-74.012482,1,0,1,0,51.42,1,5
40.717926,-74.007339,0,0,0,0,51.42,0,3
40.715131,-74.002204,1,0,0,0,51.42,0,3
40.714556,-73.997146,1,0,0,0,51.42,0,2
40.713453,-73.990091,0,0,0,0,51.63,0,2
40.71029,-73.986237,1,0,1,0,51.63,1,4
40.707446,-74.00094,1,0,1,0,51.42,1,4
40.708694,-74.005842,0,0,0,0,51.42,0,2
40.709893,-74.010002,0,0,0,0,51.42,0,1
40.711537,-74.015871,1,0,1,0,51.42,1,4
40.708462,-74.017504,1,0,1,0,51.42,1,4
40.704284,-74.01707,1,0,1,0,51.42,1,4
40.701285,-74.012503,1,0,1,0,51.42,1,3
40.703065,-74.008445,1,0,1,0,51.42,1,4
40.706315,-74.009517,0,0,0,0,51.42,0,2
40.70852,-74.012633,0,0,0,0,51.42,0,3
40.750237,-74.008655,1,0,1,0,55,1,5
40.748355,-74.003693,0,0,0,0,55,0,3
40.747168,-74.000839,0,0,0,0,55,0,2
40.74477,-73.995174,0,0,0,0,55,0,2
40.742331,-73.989018,1,1,0,1,56.89,1,2
40.742276,-73.987216,1,0,0,1,56.89,1,2
40.739496,-73.982675,0,0,0,0,56.89,0,2
40.735989,-73.975163,1,0,1,0,56.89,0,4
40.751816,-74.008197,1,0,1,0,55,1,4
40.749839,-74.003374,1,0,0,0,55,1,1
40.748427,-73.999997,0,0,0,0,55,0,2
40.746001,-73.994276,0,0,0,0,55,0,1
40.743451,-73.988238,1,0,0,0,56.89,1,2
40.742768,-73.986594,1,0,0,0,56.89,1,2
40.739236,-73.978204,1,0,0,0,56.89,0,3
40.736619,-73.972732,0,0,1,0,56.89,1,5
40.753207,-74.007679,1,0,1,0,55,1,5
40.750822,-74.001896,1,0,0,0,55,0,3
40.748433,-73.996207,0,0,0,0,55,0,2
40.747267,-73.993385,0,0,0,0,55,0,1
40.744678,-73.987312,0,0,0,0,56.89,0,1
40.74265,-73.982463,0,0,0,0,56.89,0,2
40.740451,-73.977281,1,0,0,0,56.89,0,2
40.738878,-73.972721,0,0,1,0,56.89,0,4
40.754622,-74.006983,0,0,1,0,55,0,5
40.75207,-74.00105,0,0,0,0,55,0,4
40.749664,-73.995305,0,0,0,0,55,0,2
40.748473,-73.992467,0,0,0,0,55,0,1
40.745917,-73.986389,0,0,0,0,56.89,0,2
40.74165,-73.978176,1,0,0,0,56.89,0,2
40.743869,-73.981566,0,0,0,0,56.89,0,2
40.74004,-73.972482,0,0,1,0,56.89,0,5
40.75704,-74.005307,0,0,1,0,55,0,5
40.755175,-74.000511,1,0,0,0,55,0,4
40.753399,-73.996311,0,0,0,0,55,0,2
40.751018,-73.990627,0,0,0,0,55,0,1
40.748462,-73.984561,0,0,0,0,56.89,0,1
40.746387,-73.979744,0,0,0,0,56.89,0,2
40.74379,-73.973519,1,0,0,0,56.89,0,3
40.743229,-73.971843,0,0,1,0,56.89,0,4
40.756593,-73.999926,1,0,0,0,55,0,4
40.755878,-73.998231,0,0,0,0,55,0,3
40.75348,-73.992545,0,0,0,0,55,0,1
40.752285,-73.989734,0,0,0,0,55,0,1
40.749749,-73.98364,0,0,0,0,56.89,0,1
40.747717,-73.978812,0,0,0,0,56.89,0,3
40.745791,-73.97436,1,0,0,1,56.89,0,3
40.744444,-73.970777,1,0,1,0,56.89,0,5
40.759527,-73.999286,0,0,0,0,55,0,4
40.755927,-73.994522,0,0,0,0,55,0,2
40.754708,-73.991679,0,0,0,0,55,0,1
40.753521,-73.988814,0,0,0,0,55,0,1
40.750985,-73.982763,0,0,0,0,56.89,0,1
40.748896,-73.977914,0,0,0,0,56.89,0,3
40.747327,-73.974095,0,0,0,0,56.89,0,3
40.746321,-73.971702,0,0,0,0,56.89,0,4
40.758327,-73.996423,0,0,0,0,55,0,3
40.757157,-73.993607,0,0,0,0,55,0,2
40.756007,-73.990687,0,0,0,0,55,0,1
40.754747,-73.987904,0,0,0,0,55,0,1
40.753553,-73.985052,1,0,0,0,56.89,0,2
40.750832,-73.978636,0,0,0,0,56.89,0,2
40.749507,-73.975391,0,0,0,0,56.89,0,2
40.748101,-73.970155,1,0,1,0,56.89,0,4
40.762126,-74.001488,0,0,1,0,55,0,5
40.759667,-73.995436,0,0,0,0,55,0,3
40.757242,-73.989782,0,0,0,0,55,0,1
40.756039,-73.98696,0,0,0,0,55,0,1
40.754848,-73.98415,1,0,0,1,56.89,0,2
40.751512,-73.976177,0,0,0,0,56.89,0,1
40.749854,-73.972207,0,0,0,0,56.89,0,3
40.748707,-73.969715,1,0,1,1,56.89,0,4
40.76337,-73.999905,1,1,1,0,55,0,5
40.760924,-73.994535,0,0,0,0,55,0,3
40.759738,-73.991687,0,0,0,0,55,0,2
40.757357,-73.986022,0,0,0,0,55,0,1
40.756167,-73.983164,0,0,0,0,56.89,0,1
40.754111,-73.978376,0,0,0,0,56.89,0,2
40.752713,-73.975157,0,0,0,0,56.89,0,2
40.75112,-73.971262,0,0,0,0,56.89,0,2
40.764397,-73.998914,0,0,1,0,55,0,3
40.762828,-73.993146,1,0,0,0,55,0,3
40.761,-73.99084,0,0,0,0,55,0,2
40.758603,-73.985068,0,0,0,0,55,0,1
40.756054,-73.979076,0,0,0,0,56.89,0,1
40.75403,-73.974184,0,0,0,0,56.89,0,3
40.753336,-73.972623,0,0,0,0,56.89,0,2
40.751377,-73.96802,0,0,0,0,56.89,0,4
40.763412,-73.992708,1,0,0,0,55,0,3
40.767159,-73.993749,1,0,0,0,55,0,3
40.767246,-73.986227,1,0,0,0,55,0,2
40.76794,-73.985755,1,0,0,0,55,0,2
40.753749,-73.963925,1,0,1,0,56.89,0,4
40.754871,-73.962622,1,0,1,0,56.89,0,3
40.758976,-73.970601,0,0,0,0,56.89,0,2
40.757361,-73.960656,0,0,1,0,56.89,0,3
40.770542,-73.995076,1,0,1,0,55,0,5
40.772977,-73.993773,0,0,1,0,55,0,5
40.760428,-73.975858,0,0,0,0,56.89,0,2
40.758413,-73.959115,0,0,1,0,56.89,0,4
40.763627,-73.971444,0,0,0,0,54.5751073,0,2
40.761571,-73.966615,0,0,0,0,54.5751073,0,1
40.758671,-73.959691,0,0,0,0,54.5751073,0,4
40.766711,-73.969138,0,0,0,0,54.5751073,0,3
40.764704,-73.964391,0,0,0,0,54.5751073,0,2
40.764647,-73.958383,1,0,0,0,54.5751073,0,3
40.769126,-73.965149,0,0,0,0,54.5751073,0,3
40.764323,-73.955638,0,0,0,0,54.5751073,0,3
40.765192,-73.951789,0,0,1,0,54.5751073,1,4
40.773087,-73.964559,0,0,0,0,54.5751073,0,3
40.770152,-73.957472,0,0,0,0,54.5751073,0,2
40.76711,-73.950224,0,0,0,0,54.5751073,0,5
40.768821,-73.950313,1,0,0,0,54.5751073,0,3
40.775742,-73.960691,0,0,0,0,54.5751073,0,3
40.772355,-73.952686,0,0,0,0,54.5751073,0,2
40.777515,-73.954938,0,0,0,0,54.5751073,0,2
40.773092,-73.944484,1,1,1,1,54.5751073,1,4
40.774952,-73.944792,1,1,0,1,54.5751073,1,4
40.782069,-73.955693,0,0,0,0,54.5751073,0,3
40.780428,-73.949878,1,0,0,0,54.5751073,0,2
40.777191,-73.942488,1,1,1,1,54.5751073,1,5
40.785931,-73.95513,0,0,0,0,54.5751073,0,3
40.785208,-73.951429,1,0,0,1,54.5751073,0,3
40.782583,-73.945221,1,0,0,0,54.5751073,0,3
40.789198,-73.952763,0,0,0,0,54.5751073,0,3
40.787143,-73.947931,1,0,0,1,54.5751073,0,3
40.786309,-73.939044,1,0,1,0,54.5751073,1,5
40.791583,-73.94681,1,0,0,1,54.5751073,0,2
40.793606,-73.949497,0,0,0,0,54.5751073,0,3
40.792872,-73.943721,1,0,0,1,54.5751073,0,2
40.788714,-73.937873,1,0,1,0,54.5751073,1,4
40.792828,-73.937743,1,0,1,1,54.5751073,1,3
40.791747,-73.935114,1,0,1,1,54.5751073,1,4
40.788315,-73.941017,0,0,0,0,54.5751073,0,2
40.794209,-73.944853,0,0,0,0,54.5751073,0,2
40.764919,-73.972546,1,0,0,0,53.5,0,2
40.769112,-73.969517,1,0,0,0,53.5,0,4
40.772451,-73.967024,1,0,0,0,53.5,0,4
40.780185,-73.961392,1,0,0,1,53.5,0,4
40.787887,-73.955795,1,0,0,0,53.5,0,4
40.796626,-73.94946,1,0,0,0,53.5,0,3
40.799417,-73.955422,1,0,0,0,53.5,0,3
40.79418,-73.962812,1,0,0,1,53.5,0,3
40.787862,-73.967439,1,0,0,0,53.5,0,4
40.776209,-73.975915,1,0,0,0,53.5,0,4
40.768567,-73.981483,1,0,0,1,53.5,0,2
40.76802,-73.977548,1,0,0,1,53.5,0,5
40.767095,-73.97343,1,0,1,0,53.5,0,5
40.774592,-73.972864,1,0,1,1,53.5,0,5
40.774831,-73.966727,1,0,1,0,53.5,0,5
40.781054,-73.970467,1,0,0,0,53.5,0,4
40.781351,-73.963576,1,0,0,1,53.5,1,4
40.785072,-73.966652,1,0,1,1,53.5,1,5
40.784382,-73.959283,1,0,1,1,53.5,1,4
40.78868,-73.961918,1,0,1,0,53.5,1,5
