,location,value,pol,value,pol,AQIPM2.5,AQINO2,AQI
111,Stapleton,9.9,PM2.5,18.4,NO2,41.25,17.35849057,41.25
112,Port Richmond,9.9,PM2.5,18.4,NO2,41.25,17.35849057,41.25
101,Bayside,9.8,PM2.5,19.3,NO2,40.83333333,18.20754717,40.83333333
102,Douglastown,9.8,PM2.5,19.3,NO2,40.83333333,18.20754717,40.83333333
103,Little neck,9.8,PM2.5,19.3,NO2,40.83333333,18.20754717,40.83333333
107,Queens Village,9.7,PM2.5,20.8,NO2,40.41666667,19.62264151,40.41666667
108,Rosedale,9.7,PM2.5,20.8,NO2,40.41666667,19.62264151,40.41666667
79,Canarsie,9.6,PM2.5,19.9,NO2,40,18.77358491,40
80,Flatlands,9.6,PM2.5,19.9,NO2,40,18.77358491,40
113,New Springville,9.5,PM2.5,16.1,NO2,39.58333333,15.18867925,39.58333333
114,South Beach,9.5,PM2.5,16.1,NO2,39.58333333,15.18867925,39.58333333
115,Tottenville,9.4,PM2.5,15.4,NO2,39.16666667,14.52830189,39.16666667
116,Woodrow,9.4,PM2.5,15.4,NO2,39.16666667,14.52830189,39.16666667
117,Great Kills,9.4,PM2.5,15.4,NO2,39.16666667,14.52830189,39.16666667
109,The Rockaways,9.3,PM2.5,18,NO2,38.75,16.98113208,38.75
110,Broad Channel,9.3,PM2.5,18,NO2,38.75,16.98113208,38.75
