,lat,long,Park,Dog,Riverside,DrinkingFountains,Airquality,RunningTrack,Safety,address,neighborhood
1,40.749937,-74.009546,1,0,1,0,2,1,5,"63 Chelsea Piers, New York, NY 10011, USA",NA
2,40.748933,-74.007083,1,1,0,0,2,0,3,"184 11th Ave, New York, NY 10011, USA",Midtown
3,40.747716,-74.004178,0,0,0,0,2,0,3,"221 10th Ave, New York, NY 10011, USA",Midtown
4,40.746479,-74.00139,0,0,0,0,2,0,2,"211 9th Ave, New York, NY 10011, USA",Midtown
5,40.745316,-73.998537,0,0,0,0,2,0,2,"300 W 23rd St, New York, NY 10011, USA",Midtown
6,40.743426,-73.996202,0,0,0,0,2,0,2,"212 W 22nd St, New York, NY 10011, USA",Midtown
7,40.741617,-73.99374,0,0,0,0,2,0,2,"64 W 21st St, New York, NY 10010, USA",Midtown
8,40.740282,-73.990571,1,0,0,0,2,0,1,"1 W 21st St, New York, NY 10010, USA",Midtown
9,40.740221,-73.986443,0,0,0,0,2,0,2,"46A E 23rd St, New York, NY 10010, USA",Midtown
10,40.738837,-73.98318,0,0,0,0,2,0,2,"162 E 23rd St, New York, NY 10010, USA",Midtown
11,40.737871,-73.981013,0,0,0,0,2,0,2,"395 2nd Ave, New York, NY 10010, USA",Midtown
12,40.736895,-73.978513,0,0,0,0,1,0,2,"394 1st Avenue, New York, NY 10010, USA",Midtown
13,40.735348,-73.974583,1,0,1,0,1,1,4,"E 23rd St, New York, NY 10010, USA",Midtown
14,40.731833,-73.973615,1,0,1,0,1,1,4,"E River Bikeway, New York, NY 10009, USA",Stuyvesant Town
15,40.732625,-73.977277,0,0,0,0,1,0,4,"524 20th St Loop, New York, NY 10009, USA",Midtown
16,40.734381,-73.980324,0,0,0,0,1,0,3,"320-330 1st Avenue, New York, NY 10009, USA",Midtown
17,40.735446,-73.982717,0,0,0,0,2,0,1,"245-299 E 19th St, New York, NY 10003, USA",Midtown
18,40.736389,-73.984991,0,0,0,0,2,0,1,"150 E 19th St, New York, NY 10003, USA",Midtown
19,40.737706,-73.988135,0,0,0,0,2,0,2,"98 E 19th St, New York, NY 10003, USA",Midtown
20,40.739104,-73.991354,0,0,0,0,2,0,2,"119 5th Ave, New York, NY 10003, USA",Midtown
21,40.74047,-73.994626,0,0,0,0,2,0,2,"101-111 W 19th St, New York, NY 10011, USA",Midtown
22,40.741616,-73.997458,0,0,0,0,2,0,1,"151 7th Ave, New York, NY 10011, USA",Midtown
23,40.742835,-74.000291,0,0,0,0,2,0,1,"175 8th Ave, New York, NY 10011, USA",Midtown
24,40.744087,-74.003231,0,0,0,0,2,0,3,"401 W 19th St, New York, NY 10011, USA",Midtown
25,40.745266,-74.005956,0,0,0,0,2,0,3,"153 10th Ave, New York, NY 10011, USA",Midtown
26,40.746371,-74.009346,0,0,1,0,2,1,5,"60 Chelsea Piers, New York, NY 10011, USA",NA
27,40.743307,-74.008896,1,0,1,0,2,1,4,"57 Hudson River Greenway, New York, NY 10011, USA",NA
28,40.741684,-74.004979,0,0,0,0,2,0,1,"401 W 15th St, New York, NY 10011, USA",Midtown
29,40.740424,-74.002082,0,0,0,0,2,0,1,"85-101 8th Ave, New York, NY 10011, USA",Midtown
30,40.739229,-73.999207,0,0,0,0,2,0,2,"74 7th Ave, New York, NY 10011, USA",Midtown
31,40.741684,-74.004979,0,0,0,0,2,0,1,"401 W 15th St, New York, NY 10011, USA",Midtown
32,40.736668,-73.993188,0,0,0,0,2,0,2,"96 5th Ave, New York, NY 10011, USA",Midtown
33,40.735351,-73.989948,1,1,0,1,2,0,1,"24 Union Square E, New York, NY 10003, USA",Midtown
34,40.734018,-73.986708,0,0,0,0,2,0,2,"199 E 15th St, New York, NY 10003, USA",Midtown
35,40.733018,-73.984444,1,0,0,0,2,0,2,"237-249 2nd Ave, New York, NY 10003, USA",Midtown
36,40.731961,-73.981923,0,0,0,0,1,0,2,"353 E 15th St, New York, NY 10003, USA",Midtown
37,40.730945,-73.978543,0,0,0,0,1,0,4,"523 14th St Loop, New York, NY 10009, USA",Midtown
38,40.729132,-73.975163,0,0,0,0,1,0,4,"701 E 15th St, New York, NY 10009, USA",Midtown
39,40.727628,-73.97158,0,0,1,0,1,1,5,"E River Bikeway, New York, NY 10009, USA",NA
40,40.724669,-73.97277,1,0,1,1,4,1,4,"E River Bikeway, New York, NY 10009, USA",Lower Manhattan
41,40.725459,-73.974738,0,0,0,0,4,0,3,"164 Avenue D, New York, NY 10009, USA",Lower Manhattan
42,40.726494,-73.977139,0,0,0,0,4,0,3,"647 E 11th St, New York, NY 10009, USA",East Village
43,40.727451,-73.979468,0,0,0,0,4,0,2,"176 Avenue B, New York, NY 10009, USA",Lower Manhattan
44,40.72844,-73.981805,0,0,0,0,4,0,2,"435-499 E 11th St, New York, NY 10009, USA",East Village
45,40.729365,-73.984012,1,0,0,0,4,0,2,"179 1st Avenue, New York, NY 10003, USA",Lower Manhattan
46,40.731326,-73.988629,0,0,0,0,4,0,1,"198 E 11th St, New York, NY 10003, USA",East Village
47,40.732442,-73.991308,0,0,0,0,4,0,2,"80 E 11th St, New York, NY 10003, USA",Lower Manhattan
48,40.734024,-73.995063,0,0,0,0,4,0,3,"12 E 11th St, New York, NY 10003, USA",Lower Manhattan
49,40.735385,-73.998307,0,0,0,0,4,0,3,"100 W 11th St, New York, NY 10011, USA",Lower Manhattan
50,40.736558,-74.001207,0,0,0,0,4,0,2,"192 7th Ave S, New York, NY 10014, USA",Lower Manhattan
51,40.737879,-74.004597,0,0,0,0,4,0,3,"23 8th Ave, New York, NY 10014, USA",Lower Manhattan
52,40.739312,-74.008114,0,0,0,0,4,0,2,"812 Washington St, New York, NY 10014, USA",Lower Manhattan
53,40.738169,-74.010272,1,0,1,0,4,1,4,"Hudson River Greenway, New York, NY 10014, USA",Lower Manhattan
54,40.735871,-74.006082,1,0,0,0,4,0,3,"301-303 W 11th St, New York, NY 10014, USA",Lower Manhattan
55,40.734655,-74.002299,0,0,0,0,4,0,1,"140 7th Ave S, New York, NY 10014, USA",Lower Manhattan
56,40.732256,-73.998729,1,0,0,0,4,0,2,"100-106 Waverly Pl, New York, NY 10011, USA",Lower Manhattan
57,40.730751,-73.995605,1,0,0,0,4,0,2,"3 Washington Square N, New York, NY 10012, USA",Lower Manhattan
58,40.729144,-73.992144,0,0,0,0,4,0,2,"432 Lafayette St, New York, NY 10003, USA",Lower Manhattan
59,40.728026,-73.988257,0,0,0,0,4,0,1,"45 E 7th St, New York, NY 10003, USA",Lower Manhattan
60,40.726967,-73.985885,0,0,0,0,4,0,2,"88 E 7th St, New York, NY 10009, USA",Lower Manhattan
61,40.72508,-73.981284,0,0,0,0,4,0,3,"182 E 7th St, New York, NY 10009, USA",Lower Manhattan
62,40.723097,-73.976557,0,0,0,0,4,0,3,"280-298 E 7th St, New York, NY 10009, USA",Lower Manhattan
63,40.721826,-73.972723,1,0,1,0,4,1,5,"East River Promenade, New York, NY 10002, USA",NA
64,40.718915,-73.973527,1,0,1,0,4,1,5,"East River Promenade, New York, NY 10002, USA",NA
65,40.720695,-73.978286,0,0,0,0,4,0,3,"326-398 E 3rd St, New York, NY 10009, USA",Alphabet City
66,40.722706,-73.983045,0,0,0,0,4,0,2,"200-208 E 3rd St, New York, NY 10009, USA",East Village
67,40.724582,-73.987498,0,0,0,0,4,0,2,"98 E 3rd St, New York, NY 10003, USA",East Village
68,40.72639,-73.99176,0,0,0,0,4,0,2,"3 E 3rd St, New York, NY 10003, USA",East Village
69,40.727918,-73.994796,0,0,0,0,4,0,2,"1 W 3rd St, New York, NY 10012, USA",Lower Manhattan
70,40.729339,-73.997897,0,0,0,0,4,0,2,"566 LaGuardia Pl, New York, NY 10012, USA",Lower Manhattan
71,40.73103,-74.00145,1,0,0,0,4,0,1,"304-318 6th Ave, New York, NY 10014, USA",Lower Manhattan
72,40.732135,-74.003755,0,0,0,0,4,0,1,"74 7th Ave S, New York, NY 10014, USA",Lower Manhattan
73,40.732942,-74.006876,0,0,0,0,4,0,2,"132-144 Christopher St, New York, NY 10014, USA",Lower Manhattan
74,40.733612,-74.010521,1,0,1,0,4,1,4,"Hudson River Greenway, New York, NY 10014, USA",Lower Manhattan
75,40.729158,-74.010937,1,0,1,0,4,1,4,"331-347 W Houston St, New York, NY 10014, USA",Lower Manhattan
